GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,Team,0,27,0,0,0,5,0,1,0,1
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokedexImplementation,0,112,2,6,0,25,2,11,0,9
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokedexFactoryImplementation,0,9,0,0,0,2,0,2,0,2
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,RocketPokemonFactory,7,98,1,5,1,25,1,6,0,4
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokemonTrainerFactoryImplementation,0,23,0,0,0,6,0,2,0,2
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,PokemonFactoryImplementation,0,19,0,0,0,3,0,2,0,2
CERI M1 Techniques de Test,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
